time,Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Temperature,Tilted Irradiance (Adjusted)
2019-01-01 00:00:00,2019,1,1,0,30,0,0,0,8.6,0.0
2019-01-01 01:00:00,2019,1,1,1,30,0,0,0,9.4,0.0
2019-01-01 02:00:00,2019,1,1,2,30,0,0,0,10.1,0.0
2019-01-01 03:00:00,2019,1,1,3,30,0,0,0,10.6,0.0
2019-01-01 04:00:00,2019,1,1,4,30,0,0,0,11.4,0.0
2019-01-01 05:00:00,2019,1,1,5,30,0,0,0,12.2,0.0
2019-01-01 06:00:00,2019,1,1,6,30,0,0,0,12.5,0.0
2019-01-01 07:00:00,2019,1,1,7,30,9,28,8,12.5,20.17087184109638
2019-01-01 08:00:00,2019,1,1,8,30,34,0,34,12.2,29.930720950949226
2019-01-01 09:00:00,2019,1,1,9,30,68,0,68,11.7,60.003954063869955
2019-01-01 10:00:00,2019,1,1,10,30,132,19,125,11.0,125.48125255946499
2019-01-01 11:00:00,2019,1,1,11,30,262,201,174,10.1,320.2737645868718
2019-01-01 12:00:00,2019,1,1,12,30,431,806,78,9.4,745.9909356179356
2019-01-01 13:00:00,2019,1,1,13,30,353,673,90,8.700000000000001,638.0485809814677
2019-01-01 14:00:00,2019,1,1,14,30,190,273,108,8.0,312.5323613660682
2019-01-01 15:00:00,2019,1,1,15,30,90,163,62,6.800000000000001,173.56092156489166
2019-01-01 16:00:00,2019,1,1,16,30,9,41,8,5.7,32.64817208019886
2019-01-01 17:00:00,2019,1,1,17,30,0,0,0,4.9,0.0
2019-01-01 18:00:00,2019,1,1,18,30,0,0,0,4.5,0.0
2019-01-01 19:00:00,2019,1,1,19,30,0,0,0,3.5,0.0
2019-01-01 20:00:00,2019,1,1,20,30,0,0,0,2.9000000000000004,0.0
2019-01-01 21:00:00,2019,1,1,21,30,0,0,0,2.2,0.0
2019-01-01 22:00:00,2019,1,1,22,30,0,0,0,1.6,0.0
2019-01-01 23:00:00,2019,1,1,23,30,0,0,0,1.0,0.0
2019-01-02 00:00:00,2019,1,2,0,30,0,0,0,0.5,0.0
2019-01-02 01:00:00,2019,1,2,1,30,0,0,0,0.2,0.0
2019-01-02 02:00:00,2019,1,2,2,30,0,0,0,0.0,0.0
2019-01-02 03:00:00,2019,1,2,3,30,0,0,0,-0.3,0.0
2019-01-02 04:00:00,2019,1,2,4,30,0,0,0,-0.6000000000000001,0.0
