GHI,DNI,DHI,Temperature,Tilted Irradiance (Adjusted)
10,0,10,1.2000000000000002,9.264221980187
731,759,145,29.8,772.1815927057445
0,0,0,1.3,0.0
0,0,0,-6.0,0.0
0,0,0,23.8,0.0
0,0,0,22.4,0.0
0,0,0,-1.7000000000000002,0.0
95,155,68,17.8,145.96477202385853
0,0,0,22.700000000000003,0.0
0,0,0,1.0,0.0
0,0,0,16.400000000000002,0.0
0,0,0,4.7,0.0
0,0,0,0.1,0.0
33,0,33,17.900000000000002,28.261978050425995
0,0,0,0.2,0.0
0,0,0,15.1,0.0
541,264,304,24.3,485.2902370797236
55,0,55,5.6000000000000005,49.938869620525416
190,353,91,7.9,358.9075503809805
0,0,0,3.5,0.0
0,0,0,22.0,0.0
0,0,0,18.7,0.0
453,528,163,-4.5,664.5060836637284
632,472,263,19.0,661.23449790482
0,0,0,13.7,0.0
225,160,163,4.5,277.08936445590484
0,0,0,0.3,0.0
565,346,316,9.6,609.547853005169
377,681,89,24.6,628.5664441655604
51,0,51,13.2,44.68231318346657
0,0,0,3.0,0.0
0,0,0,-0.3,0.0
326,42,286,23.9,274.93742198358694
0,0,0,18.3,0.0
475,791,79,18.3,759.1593118280048
431,313,238,7.4,509.86387742334097
582,709,129,28.6,686.1979822609655
458,454,192,20.0,561.8528182488054
289,241,175,20.8,353.8139816845633
0,0,0,21.5,0.0
0,0,0,16.900000000000002,0.0
429,693,93,23.700000000000003,606.6765256210874
354,288,209,5.5,440.58217173703287
0,0,0,-2.5,0.0
193,491,69,11.9,372.51973688777497
223,68,192,4.9,231.19405406162676
0,0,0,-3.8,0.0
747,838,124,25.8,833.1855553206553
0,0,0,15.2,0.0
0,0,0,6.800000000000001,0.0
161,145,117,3.8,213.20628691278037
48,0,48,22.5,40.18284096373088
0,0,0,1.3,0.0
0,0,0,-1.9,0.0
10,43,9,-0.1,29.80258536254927
809,662,220,30.6,746.83202952651
0,0,0,23.0,0.0
0,0,0,-1.2000000000000002,0.0
529,507,212,17.7,617.1607209194431
363,464,144,23.700000000000003,470.138381459479
0,0,0,0.7000000000000001,0.0
16,1,16,14.0,14.613991511658591
0,0,0,13.4,0.0
167,34,152,12.0,161.61289280026276
0,0,0,19.6,0.0
16,47,14,26.5,38.918378759558514
0,0,0,1.7000000000000002,0.0
274,15,260,27.0,225.83701627439407
0,0,0,10.6,0.0
0,0,0,22.200000000000003,0.0
0,0,0,18.7,0.0
388,403,187,6.7,525.6297869460375
39,24,36,12.2,44.48876697489906
23,0,23,5.1000000000000005,20.931729938875858
296,597,83,17.8,478.42953474341454
0,0,0,12.2,0.0
0,0,0,0.4,0.0
0,0,0,23.700000000000003,0.0
92,0,92,10.6,81.60600346263337
0,0,0,1.8,0.0
0,0,0,18.0,0.0
119,424,46,21.9,277.83683183226475
0,0,0,-1.3,0.0
0,0,0,4.6000000000000005,0.0
0,0,0,13.6,0.0
0,0,0,17.6,0.0
270,815,46,0.9,591.2420205896045
0,0,0,0.0,0.0
0,0,0,17.5,0.0
183,159,132,21.8,234.86947379655763
0,0,0,21.5,0.0
0,0,0,8.9,0.0
236,470,89,27.1,422.7941381600363
0,0,0,5.1000000000000005,0.0
0,0,0,4.800000000000001,0.0
120,414,52,8.6,347.0702600056775
0,0,0,-3.3000000000000003,0.0
896,885,119,21.1,912.448803059438
0,0,0,16.0,0.0
0,0,0,0.9,0.0
0,0,0,-11.1,0.0
508,917,61,12.8,851.8360503328356
0,0,0,-2.4000000000000004,0.0
900,808,156,29.3,830.5422265858882
66,54,57,22.6,84.48020378392367
0,0,0,4.7,0.0
167,7,163,18.9,144.44098014861288
482,918,57,4.3,837.456057499571
49,1,49,21.6,41.89056733239368
0,0,0,21.1,0.0
0,0,0,20.8,0.0
142,76,115,17.5,151.0021297322455
0,0,0,18.6,0.0
0,0,0,20.4,0.0
533,550,188,19.0,653.406611796558
821,880,104,23.6,877.798484616483
10,6,10,15.6,12.39447783707605
3,5,3,23.8,5.274262183058209
79,391,39,1.2000000000000002,265.0872850656102
47,0,47,11.1,41.59152245495707
0,0,0,14.5,0.0
521,302,295,24.700000000000003,511.832844198652
0,0,0,16.6,0.0
0,0,0,23.3,0.0
137,447,53,15.2,301.18884517262137
0,0,0,2.1,0.0
116,59,90,6.1000000000000005,131.23205015583775
0,0,0,9.1,0.0
0,0,0,24.3,0.0
0,0,0,-2.6,0.0
0,0,0,-2.2,0.0
0,0,0,-0.2,0.0
48,0,48,9.0,42.89895510954078
819,751,172,27.9,806.4479679762977
0,0,0,23.200000000000003,0.0
159,145,109,1.4,213.6311321697005
142,1,141,15.7,122.95909621424528
0,0,0,3.9,0.0
0,0,0,22.1,0.0
0,0,0,-0.7000000000000001,0.0
417,51,373,19.8,363.60438910111617
0,0,0,-1.6,0.0
3,5,3,17.900000000000002,4.571183084895524
0,0,0,21.5,0.0
350,322,195,-12.9,494.7106747309378
0,0,0,24.3,0.0
294,52,260,25.1,260.6719884074989
0,0,0,-0.4,0.0
81,15,76,14.5,78.17657620271096
0,0,0,21.3,0.0
835,698,215,11.3,861.1016570854867
0,0,0,11.6,0.0
461,474,186,28.700000000000003,552.8380005124444
557,870,80,13.2,830.6380004002962
0,0,0,15.1,0.0
0,0,0,22.5,0.0
60,171,41,22.8,123.36285119385155
0,0,0,19.9,0.0
0,0,0,-1.1,0.0
0,0,0,18.8,0.0
0,0,0,19.1,0.0
906,758,196,21.200000000000003,850.706422689321
0,0,0,5.5,0.0
159,6,154,25.4,132.3346896387055
607,206,424,26.200000000000003,532.3179938723024
0,0,0,8.3,0.0
400,166,274,27.4,371.0825422490532
0,0,0,10.2,0.0
317,358,162,-0.9,468.1048889270454
0,0,0,3.4000000000000004,0.0
310,726,60,18.9,535.2293827601944
0,0,0,1.6,0.0
205,492,75,16.1,446.31937025458336
0,0,0,-2.6,0.0
13,0,13,5.6000000000000005,11.803732819396918
509,329,288,14.4,557.8747039151697
10,23,9,-8.700000000000001,20.72984467760337
0,0,0,12.6,0.0
95,0,95,12.5,83.51049687423495
841,911,99,23.200000000000003,905.4590259223676
54,1,54,18.1,46.78055674446055
563,320,301,29.0,525.7144940237114
533,839,95,4.6000000000000005,844.2978272795859
0,0,0,20.6,0.0
83,0,83,18.5,70.8744185127613
0,0,0,-8.8,0.0
0,0,0,14.1,0.0
302,36,275,25.5,258.1917486215042
0,0,0,0.5,0.0
0,0,0,18.7,0.0
519,759,98,23.3,683.0955915081053
0,0,0,2.7,0.0
23,0,23,4.2,21.018494696311453
315,719,58,18.6,551.3962531194815
62,233,37,21.1,140.30014830969765
27,86,22,0.4,63.44650579093004
0,0,0,0.5,0.0
378,770,77,0.8,738.3909221525915
15,61,13,-1.4,44.76410619255514
0,0,0,9.8,0.0
0,0,0,10.2,0.0
0,0,0,14.7,0.0
10,0,10,9.2,8.928899246136396
164,331,79,23.700000000000003,307.11256720848985
0,0,0,0.0,0.0
211,557,62,20.700000000000003,405.5250316708437
30,0,30,14.8,26.08251999690292
0,0,0,0.5,0.0
49,0,49,5.5,44.51153145211052
0,0,0,11.1,0.0
836,774,183,11.3,905.5812745389144
0,0,0,15.4,0.0
0,0,0,4.2,0.0
358,236,232,3.4000000000000004,430.5703905463961
2,3,2,14.4,3.0467446225536667
891,759,204,21.0,868.9148017433025
66,83,53,18.3,90.50336869288026
0,0,0,-7.9,0.0
17,44,15,21.200000000000003,40.25706186170368
0,0,0,-0.6000000000000001,0.0
0,0,0,10.6,0.0
0,0,0,3.9,0.0
0,0,0,3.8,0.0
105,67,85,4.3,131.9111824655949
769,551,280,28.3,715.4030357611473
0,0,0,20.1,0.0
0,0,0,18.7,0.0
784,760,156,30.6,789.1097281478806
145,7,142,-0.1,138.5265634916084
0,0,0,6.6000000000000005,0.0
801,921,95,24.4,899.9889940476481
0,0,0,21.3,0.0
108,1,107,12.9,94.81337879743393
0,0,0,2.7,0.0
10,56,9,-5.300000000000001,37.72680471553105
0,0,0,-0.1,0.0
744,949,89,6.0,979.2831543994578
0,0,0,1.6,0.0
13,15,12,-0.2,18.74177360452169
0,0,0,0.6000000000000001,0.0
0,0,0,-8.6,0.0
616,542,218,29.700000000000003,637.2034380002923
125,67,106,-0.1,153.38788574670286
0,0,0,0.1,0.0
513,743,111,12.6,715.4022918748864
180,6,174,19.9,153.06875398945934
